model,split,round,case_id,condition,verdict,severity,action,confidence,verdict_distance,severity_distance,action_distance,C1_pass,C2_pass,C3_pass,C4_pass,A4_pass
gemini-2.5-flash,dev,3,RTLO-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,3,SMB-002,counter,suspicious,medium,investigate,0.7,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,3,ST-002,missing,malicious,high,isolate,0.9,1,1,2,True,False,True,False,False
gemini-2.5-flash,dev,3,ST-003,weak,benign,informational,close_benign,0.9,-1,-1,-1,True,False,False,False,False
gemini-2.5-flash,dev,3,UAC-001,strong,malicious,high,escalate,0.9,0,0,0,True,True,False,True,False
gemini-2.5-flash,dev,3,WMI-002,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,BF-002,weak,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,heldout,1,COL-001,weak,suspicious,medium,investigate,0.7,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,CRED-001,weak,suspicious,high,investigate,0.8,0,1,0,True,False,True,True,False
gemini-2.5-flash,heldout,1,DISC-001,weak,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,DISC-003,weak,suspicious,medium,investigate,0.7,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,DISC-004,weak,benign,informational,close_benign,0.9,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,heldout,1,EVL-001,missing,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,GPO-001,counter,suspicious,medium,investigate,0.7,1,1,1,True,False,True,False,False
gemini-2.5-flash,heldout,1,ING-002,missing,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,LOGON-001,missing,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,heldout,1,LS-003,strong,suspicious,high,investigate,0.9,-1,0,-1,True,False,True,False,False
gemini-2.5-flash,heldout,1,OD-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,PS-003,counter,malicious,critical,isolate,0.9,2,3,3,True,False,True,False,False
gemini-2.5-flash,heldout,1,PS-004,strong,malicious,high,escalate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,RUN-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,SMB-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,ST-001,missing,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,SVC-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,1,UQP-001,strong,suspicious,medium,investigate,0.8,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,heldout,1,WMI-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,BF-002,weak,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,heldout,2,COL-001,weak,suspicious,medium,investigate,0.7,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,CRED-001,weak,suspicious,high,investigate,0.9,0,1,0,True,False,True,True,False
gemini-2.5-flash,heldout,2,DISC-001,weak,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,DISC-003,weak,suspicious,medium,investigate,0.7,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,DISC-004,weak,benign,informational,close_benign,0.9,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,heldout,2,EVL-001,missing,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,GPO-001,counter,suspicious,medium,investigate,0.7,1,1,1,True,False,True,False,False
gemini-2.5-flash,heldout,2,ING-002,missing,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,LOGON-001,missing,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,heldout,2,LS-003,strong,suspicious,high,investigate,0.9,-1,0,-1,True,False,True,False,False
gemini-2.5-flash,heldout,2,OD-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,PS-003,counter,malicious,critical,isolate,0.9,2,3,3,True,False,True,False,False
gemini-2.5-flash,heldout,2,PS-004,strong,malicious,high,escalate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,RUN-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,SMB-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,ST-001,missing,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,SVC-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,2,UQP-001,strong,suspicious,medium,investigate,0.8,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,heldout,2,WMI-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,BF-002,weak,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,heldout,3,COL-001,weak,suspicious,medium,investigate,0.7,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,CRED-001,weak,suspicious,high,investigate,0.9,0,1,0,True,False,True,True,False
gemini-2.5-flash,heldout,3,DISC-001,weak,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,DISC-003,weak,suspicious,medium,investigate,0.7,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,DISC-004,weak,benign,informational,close_benign,0.9,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,heldout,3,EVL-001,missing,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,GPO-001,counter,suspicious,medium,investigate,0.7,1,1,1,True,False,True,False,False
gemini-2.5-flash,heldout,3,ING-002,missing,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,LOGON-001,missing,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,heldout,3,LS-003,strong,suspicious,high,investigate,0.9,-1,0,-1,True,False,True,False,False
gemini-2.5-flash,heldout,3,OD-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,PS-003,counter,malicious,critical,isolate,0.9,2,3,3,True,False,True,False,False
gemini-2.5-flash,heldout,3,PS-004,strong,malicious,high,escalate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,RUN-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,SMB-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,ST-001,missing,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,SVC-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,heldout,3,UQP-001,strong,suspicious,medium,investigate,0.8,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,heldout,3,WMI-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,ACCT-001,missing,suspicious,high,investigate,0.78,0,1,0,True,False,True,True,False
claude-sonnet-4-6,dev,1,AMQ-001,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,BF-001,weak,malicious,high,investigate,0.82,1,1,0,True,False,True,True,False
claude-sonnet-4-6,dev,1,CERT-001,weak,malicious,high,escalate,0.82,1,1,1,True,False,True,False,False
claude-sonnet-4-6,dev,1,DISC-002,counter,benign,informational,close_benign,0.85,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,FW-001,weak,suspicious,medium,investigate,0.62,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,ING-001,missing,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,1,INJ-001,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,LGN-002,missing,malicious,high,escalate,0.92,1,1,1,True,False,True,False,False
claude-sonnet-4-6,dev,1,LS-001,strong,malicious,critical,isolate,0.99,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,LS-002,weak,malicious,critical,isolate,0.95,1,2,2,True,False,True,False,False
claude-sonnet-4-6,dev,1,PS-001,weak,malicious,high,isolate,0.88,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,1,PS-002,weak,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,1,RDL-001,counter,suspicious,medium,investigate,0.62,1,1,1,True,False,True,False,False
claude-sonnet-4-6,dev,1,RK-001,missing,suspicious,medium,investigate,0.72,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,RTLO-001,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,SMB-002,counter,benign,informational,close_benign,0.88,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,ST-002,missing,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,1,ST-003,weak,benign,informational,close_benign,0.92,-1,-1,-1,True,False,True,False,False
claude-sonnet-4-6,dev,1,UAC-001,strong,malicious,high,isolate,0.95,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,1,WMI-002,strong,malicious,high,isolate,0.95,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,ACCT-001,missing,suspicious,high,investigate,0.72,0,1,0,True,False,True,True,False
claude-sonnet-4-6,dev,2,AMQ-001,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,BF-001,weak,malicious,high,investigate,0.82,1,1,0,True,False,True,True,False
claude-sonnet-4-6,dev,2,CERT-001,weak,malicious,high,escalate,0.82,1,1,1,True,False,True,False,False
claude-sonnet-4-6,dev,2,DISC-002,counter,benign,informational,close_benign,0.85,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,FW-001,weak,suspicious,medium,investigate,0.62,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,ING-001,missing,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,2,INJ-001,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,LGN-002,missing,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,2,LS-001,strong,malicious,critical,isolate,0.99,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,LS-002,weak,malicious,critical,isolate,0.95,1,2,2,True,False,True,False,False
claude-sonnet-4-6,dev,2,PS-001,weak,malicious,high,isolate,0.88,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,2,PS-002,weak,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,2,RDL-001,counter,suspicious,medium,investigate,0.62,1,1,1,True,False,True,False,False
claude-sonnet-4-6,dev,2,RK-001,missing,suspicious,medium,investigate,0.72,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,RTLO-001,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,SMB-002,counter,benign,informational,close_benign,0.88,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,ST-002,missing,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,2,ST-003,weak,benign,informational,close_benign,0.92,-1,-1,-1,True,False,True,False,False
claude-sonnet-4-6,dev,2,UAC-001,strong,malicious,high,isolate,0.95,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,2,WMI-002,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,ACCT-001,missing,suspicious,high,investigate,0.72,0,1,0,True,False,True,True,False
claude-sonnet-4-6,dev,3,AMQ-001,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,BF-001,weak,malicious,high,escalate,0.82,1,1,1,True,False,True,False,False
claude-sonnet-4-6,dev,3,CERT-001,weak,malicious,high,escalate,0.82,1,1,1,True,False,True,False,False
claude-sonnet-4-6,dev,3,DISC-002,counter,benign,informational,close_benign,0.85,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,FW-001,weak,suspicious,medium,investigate,0.62,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,ING-001,missing,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,3,INJ-001,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,LGN-002,missing,malicious,high,escalate,0.92,1,1,1,True,False,True,False,False
claude-sonnet-4-6,dev,3,LS-001,strong,malicious,critical,isolate,0.98,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,LS-002,weak,malicious,critical,isolate,0.95,1,2,2,True,False,True,False,False
claude-sonnet-4-6,dev,3,PS-001,weak,malicious,high,isolate,0.88,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,3,PS-002,weak,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,3,RDL-001,counter,suspicious,medium,investigate,0.62,1,1,1,True,False,True,False,False
claude-sonnet-4-6,dev,3,RK-001,missing,suspicious,medium,investigate,0.72,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,RTLO-001,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,SMB-002,counter,benign,informational,close_benign,0.88,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,ST-002,missing,malicious,high,isolate,0.92,1,1,2,True,False,True,False,False
claude-sonnet-4-6,dev,3,ST-003,weak,benign,informational,close_benign,0.92,-1,-1,-1,True,False,True,False,False
claude-sonnet-4-6,dev,3,UAC-001,strong,malicious,high,isolate,0.95,0,0,0,True,True,True,True,True
claude-sonnet-4-6,dev,3,WMI-002,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,BF-002,weak,malicious,high,investigate,0.87,1,1,0,True,False,True,True,False
claude-sonnet-4-6,heldout,1,COL-001,weak,suspicious,high,escalate,0.78,0,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,1,CRED-001,weak,malicious,high,escalate,0.82,1,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,1,DISC-001,weak,malicious,high,escalate,0.87,1,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,1,DISC-003,weak,suspicious,medium,investigate,0.65,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,DISC-004,weak,suspicious,low,monitor,0.45,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,EVL-001,missing,suspicious,high,investigate,0.78,0,1,0,True,False,True,True,False
claude-sonnet-4-6,heldout,1,GPO-001,counter,benign,informational,close_benign,0.82,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,ING-002,missing,suspicious,high,investigate,0.82,0,1,0,True,False,True,True,False
claude-sonnet-4-6,heldout,1,LOGON-001,missing,malicious,high,isolate,0.88,1,1,2,True,False,True,False,False
claude-sonnet-4-6,heldout,1,LS-003,strong,malicious,high,escalate,0.85,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,OD-001,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,PS-003,counter,suspicious,medium,investigate,0.62,1,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,1,PS-004,strong,malicious,critical,isolate,0.98,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,RUN-001,strong,malicious,high,isolate,0.87,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,SMB-001,strong,malicious,critical,isolate,0.95,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,ST-001,missing,suspicious,medium,investigate,0.72,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,SVC-001,strong,malicious,high,isolate,0.92,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,1,UQP-001,strong,suspicious,medium,investigate,0.55,-1,-1,-1,True,False,True,False,False
claude-sonnet-4-6,heldout,1,WMI-001,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,BF-002,weak,malicious,high,escalate,0.88,1,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,2,COL-001,weak,suspicious,high,investigate,0.78,0,1,0,True,False,True,True,False
claude-sonnet-4-6,heldout,2,CRED-001,weak,malicious,high,isolate,0.82,1,1,2,True,False,True,False,False
claude-sonnet-4-6,heldout,2,DISC-001,weak,malicious,high,escalate,0.88,1,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,2,DISC-003,weak,suspicious,medium,investigate,0.65,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,DISC-004,weak,suspicious,low,monitor,0.45,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,EVL-001,missing,suspicious,high,investigate,0.78,0,1,0,True,False,True,True,False
claude-sonnet-4-6,heldout,2,GPO-001,counter,benign,informational,close_benign,0.82,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,ING-002,missing,suspicious,high,investigate,0.82,0,1,0,True,False,True,True,False
claude-sonnet-4-6,heldout,2,LOGON-001,missing,malicious,high,investigate,0.88,1,1,0,True,False,True,True,False
claude-sonnet-4-6,heldout,2,LS-003,strong,malicious,high,isolate,0.85,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,OD-001,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,PS-003,counter,suspicious,medium,investigate,0.55,1,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,2,PS-004,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,RUN-001,strong,malicious,high,isolate,0.87,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,SMB-001,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,ST-001,missing,suspicious,medium,investigate,0.72,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,SVC-001,strong,malicious,high,isolate,0.92,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,2,UQP-001,strong,suspicious,medium,investigate,0.55,-1,-1,-1,True,False,True,False,False
claude-sonnet-4-6,heldout,2,WMI-001,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,BF-002,weak,malicious,high,isolate,0.88,1,1,2,True,False,True,False,False
claude-sonnet-4-6,heldout,3,COL-001,weak,suspicious,high,escalate,0.78,0,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,3,CRED-001,weak,malicious,high,escalate,0.82,1,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,3,DISC-001,weak,malicious,high,escalate,0.87,1,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,3,DISC-003,weak,suspicious,medium,investigate,0.65,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,DISC-004,weak,suspicious,low,investigate,0.45,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,EVL-001,missing,suspicious,high,escalate,0.78,0,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,3,GPO-001,counter,benign,informational,close_benign,0.82,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,ING-002,missing,suspicious,high,investigate,0.82,0,1,0,True,False,True,True,False
claude-sonnet-4-6,heldout,3,LOGON-001,missing,malicious,high,isolate,0.88,1,1,2,True,False,True,False,False
claude-sonnet-4-6,heldout,3,LS-003,strong,malicious,high,isolate,0.85,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,OD-001,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,PS-003,counter,suspicious,medium,investigate,0.55,1,1,1,True,False,True,False,False
claude-sonnet-4-6,heldout,3,PS-004,strong,malicious,critical,isolate,0.97,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,RUN-001,strong,malicious,high,isolate,0.88,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,SMB-001,strong,malicious,high,isolate,0.93,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,ST-001,missing,suspicious,medium,investigate,0.72,0,0,0,True,True,True,True,True
claude-sonnet-4-6,heldout,3,SVC-001,strong,malicious,high,isolate,0.92,0,0,0,True,True,True,True,True
